wuc,description,full_context
245HD,EGT INDICATOR,24000 AUXILIARY POWER PLANT > 24500 GTCP85-180L AUXILIARY POWER UNIT > 245H0 INSTRUMENTATION > 245HD EGT INDICATOR
245HE,ANNUNCIATOR LIGHT PANEL,24000 AUXILIARY POWER PLANT > 24500 GTCP85-180L AUXILIARY POWER UNIT > 245H0 INSTRUMENTATION > 245HE ANNUNCIATOR LIGHT PANEL
245HF,CONTROL SWITCHES,24000 AUXILIARY POWER PLANT > 24500 GTCP85-180L AUXILIARY POWER UNIT > 245H0 INSTRUMENTATION > 245HF CONTROL SWITCHES
245HG,WARNING LIGHT,24000 AUXILIARY POWER PLANT > 24500 GTCP85-180L AUXILIARY POWER UNIT > 245H0 INSTRUMENTATION > 245HG WARNING LIGHT
245HH,PILOTâ€™S STATUS PANEL,24000 AUXILIARY POWER PLANT > 24500 GTCP85-180L AUXILIARY POWER UNIT > 245H0 INSTRUMENTATION > 245HH PILOTâ€™S STATUS PANEL
245HJ,QUICK START PANEL,24000 AUXILIARY POWER PLANT > 24500 GTCP85-180L AUXILIARY POWER UNIT > 245H0 INSTRUMENTATION > 245HJ QUICK START PANEL
245J0,FIRE EXTINGUISHER SYSTEM,24000 AUXILIARY POWER PLANT > 24500 GTCP85-180L AUXILIARY POWER UNIT > 245J0 FIRE EXTINGUISHER SYSTEM
245JA,FIRE EXTINGUISHER BOTTLE,24000 AUXILIARY POWER PLANT > 24500 GTCP85-180L AUXILIARY POWER UNIT > 245J0 FIRE EXTINGUISHER SYSTEM > 245JA FIRE EXTINGUISHER BOTTLE
245JB,VALVE,24000 AUXILIARY POWER PLANT > 24500 GTCP85-180L AUXILIARY POWER UNIT > 245J0 FIRE EXTINGUISHER SYSTEM > 245JB VALVE
245JC,PRESSURE GAUGE,24000 AUXILIARY POWER PLANT > 24500 GTCP85-180L AUXILIARY POWER UNIT > 245J0 FIRE EXTINGUISHER SYSTEM > 245JC PRESSURE GAUGE
245JD,DETECTOR,24000 AUXILIARY POWER PLANT > 24500 GTCP85-180L AUXILIARY POWER UNIT > 245J0 FIRE EXTINGUISHER SYSTEM > 245JD DETECTOR
245JE,RELAY,24000 AUXILIARY POWER PLANT > 24500 GTCP85-180L AUXILIARY POWER UNIT > 245J0 FIRE EXTINGUISHER SYSTEM > 245JE RELAY
245K0,IGNITION SYSTEM,24000 AUXILIARY POWER PLANT > 24500 GTCP85-180L AUXILIARY POWER UNIT > 245K0 IGNITION SYSTEM
245KA,IGNITER PLUG,24000 AUXILIARY POWER PLANT > 24500 GTCP85-180L AUXILIARY POWER UNIT > 245K0 IGNITION SYSTEM > 245KA IGNITER PLUG
245KB,IGNITION UNIT,24000 AUXILIARY POWER PLANT > 24500 GTCP85-180L AUXILIARY POWER UNIT > 245K0 IGNITION SYSTEM > 245KB IGNITION UNIT
24D00,BASIC ENGINE (TURBOMACH) -135,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135
24D99,NOC,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24D90 > 24D99 NOC
24DB0,TURBINE SECTION (TURBOMACH),24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DB0 TURBINE SECTION (TURBOMACH)
24DBB,WHEEL ASSEMBLY,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DB0 TURBINE SECTION (TURBOMACH) > 24DBB WHEEL ASSEMBLY
24DC0,COMBUSTOR ASSY,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DC0 COMBUSTOR ASSY
24DCE,COMBUSTOR DRAIN VALVE ASSY,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DC0 COMBUSTOR ASSY > 24DCE COMBUSTOR DRAIN VALVE ASSY
24DD0,PNEUMATIC SYSTEM,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM
24DDA,BYPASS VALVE,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDA BYPASS VALVE
24DDB,IGV ACTUATOR,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDB IGV ACTUATOR
24DDC,INLET DUCTING,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDC INLET DUCTING
24DDD,DISCHARGE DUCTING,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDD DISCHARGE DUCTING
24DDE,AIR FILTER,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDE AIR FILTER
24DDG,INLET DOOR,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDG INLET DOOR
24DDH,EXHAUST DOOR,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDH EXHAUST DOOR
24DDJ,INLET DUCT,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDJ INLET DUCT
24DDK,RIGHT EXHAUST DUCT,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDK RIGHT EXHAUST DUCT
24DDL,DOOR LINKAGE,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDL DOOR LINKAGE
24DDM,SHUTOFF VALVE,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDM SHUTOFF VALVE
24DDN,Y-DUCT BLEED AIR CHECK VALVES,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDN Y-DUCT BLEED AIR CHECK VALVES
24DDP,CURVED COOLING AIR DUCT,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDP CURVED COOLING AIR DUCT
24DDQ,LEFT EXHAUST DUCT,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDQ LEFT EXHAUST DUCT
24DDR,DEFLECTOR,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDR DEFLECTOR
24DDS,STRAIGHT COOLING AIR DUCT,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDS STRAIGHT COOLING AIR DUCT
24DDT,FLEXIBLE BELLOWS,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDT FLEXIBLE BELLOWS
24DDU,FLEXIBLE DUCT,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDU FLEXIBLE DUCT
24DDV,PENETRATION DUCT,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDV PENETRATION DUCT
24DDW,DELIVERY DUCTS,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DD0 PNEUMATIC SYSTEM > 24DDW DELIVERY DUCTS
24DE0,FUEL SYSTEM,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DE0 FUEL SYSTEM
24DEB,START FUEL NOZZLE,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DE0 FUEL SYSTEM > 24DEB START FUEL NOZZLE
24-Dec,FUEL CONTROL ASSY,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DE0 FUEL SYSTEM > 24DEC FUEL CONTROL ASSY
24DED,SERVO ACTUATOR,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DE0 FUEL SYSTEM > 24DED SERVO ACTUATOR
24DEE,FUEL FILTER,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DE0 FUEL SYSTEM > 24DEE FUEL FILTER
24DEF,START VALVE,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DE0 FUEL SYSTEM > 24DEF START VALVE
24DEG,MAIN VALVE,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DE0 FUEL SYSTEM > 24DEG MAIN VALVE
24DEH,FUEL CONTROL ENCLOSURE,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DE0 FUEL SYSTEM > 24DEH FUEL CONTROL ENCLOSURE
24DEJ,FUEL TUBING,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DE0 FUEL SYSTEM > 24DEJ FUEL TUBING
24DEK,FUEL MANIFOLD,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DE0 FUEL SYSTEM > 24DEK FUEL MANIFOLD
24DEM,FUEL INVERTER PUMP,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DE0 FUEL SYSTEM > 24DEM FUEL INVERTER PUMP
24DEN,ROTARY ACTUATED MOTOR,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DE0 FUEL SYSTEM > 24DEN ROTARY ACTUATED MOTOR
24DEP,FUEL BYPASS FILTER,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DE0 FUEL SYSTEM > 24DEP FUEL BYPASS FILTER
24DEQ,PURGE VALVE,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DE0 FUEL SYSTEM > 24DEQ PURGE VALVE
24DER,FUEL PRESSURE SWITCH,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DE0 FUEL SYSTEM > 24DER FUEL PRESSURE SWITCH
24DF0,APU ENCLOSURE,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DF0 APU ENCLOSURE
24DFA,INBOARD DOORS,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DF0 APU ENCLOSURE > 24DFA INBOARD DOORS
24DFB,FORE AND AFT DOORS,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DF0 APU ENCLOSURE > 24DFB FORE AND AFT DOORS
24DFD,PALLET,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DF0 APU ENCLOSURE > 24DFD PALLET
24DFE,DRAIN/EJECTOR PUMP,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DF0 APU ENCLOSURE > 24DFE DRAIN/EJECTOR PUMP
24DG0,OIL SYSTEM,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DG0 OIL SYSTEM
24DGB,HIGH OIL TEMP SWITCH,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DG0 OIL SYSTEM > 24DGB HIGH OIL TEMP SWITCH
24DGC,LUBE OIL FILTER ASSY,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DG0 OIL SYSTEM > 24DGC LUBE OIL FILTER ASSY
24DGD,LOW OIL PRESSURE SWITCH,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DG0 OIL SYSTEM > 24DGD LOW OIL PRESSURE SWITCH
24DGE,CHIP DETECTOR,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DG0 OIL SYSTEM > 24DGE CHIP DETECTOR
24DGF,OIL/AIR COOLER -135A ONLY,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DG0 OIL SYSTEM > 24DGF OIL/AIR COOLER -135A ONLY
24DH0,ELECTRICAL SYSTEM,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DH0 ELECTRICAL SYSTEM
24DHA,JUNCTION BOX,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DH0 ELECTRICAL SYSTEM > 24DHA JUNCTION BOX
24DHB,ESCU/ECUA,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DH0 ELECTRICAL SYSTEM > 24DHB ESCU/ECUA
24DHC,COUNTER EVENT,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DH0 ELECTRICAL SYSTEM > 24DHC COUNTER EVENT
24DHD,METER HOUR,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DH0 ELECTRICAL SYSTEM > 24DHD METER HOUR
24DHE,CONNECTOR,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DH0 ELECTRICAL SYSTEM > 24DHE CONNECTOR
24DHF,DOOR SWITCHES,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DH0 ELECTRICAL SYSTEM > 24DHF DOOR SWITCHES
24DHG,GENERATOR,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DH0 ELECTRICAL SYSTEM > 24DHG GENERATOR
24DHH,RECTIFIER,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DH0 ELECTRICAL SYSTEM > 24DHH RECTIFIER
24DHK,CURRENT TRANSFORMER,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DH0 ELECTRICAL SYSTEM > 24DHK CURRENT TRANSFORMER
24DHL,GENERATOR CONTROL UNIT,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DH0 ELECTRICAL SYSTEM > 24DHL GENERATOR CONTROL UNIT
24DK0,INSTRUMENTATION SYSTEM,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DK0 INSTRUMENTATION SYSTEM
24DKA,CONTROL PANEL,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DK0 INSTRUMENTATION SYSTEM > 24DKA CONTROL PANEL
24DKB,EGT THERMOCOUPLE,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DK0 INSTRUMENTATION SYSTEM > 24DKB EGT THERMOCOUPLE
24DKC,AIR FLOW SENSOR,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DK0 INSTRUMENTATION SYSTEM > 24DKC AIR FLOW SENSOR
24DKD,REMOTE TEMP DETECTOR-LOAD COMPRESSOR,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DK0 INSTRUMENTATION SYSTEM > 24DKD REMOTE TEMP DETECTOR-LOAD COMPRESSOR
24DKE,REMOTE TEMP DETECTOR-AMBIENT,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DK0 INSTRUMENTATION SYSTEM > 24DKE REMOTE TEMP DETECTOR-AMBIENT
24DKF,MAGNETIC PICKUP,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DK0 INSTRUMENTATION SYSTEM > 24DKF MAGNETIC PICKUP
24DKG,METER RPM,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DK0 INSTRUMENTATION SYSTEM > 24DKG METER RPM
24DKH,METER EGT,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DK0 INSTRUMENTATION SYSTEM > 24DKH METER EGT
24DKJ,AMMETER,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DK0 INSTRUMENTATION SYSTEM > 24DKJ AMMETER
24DKK,PANEL APU CONTROL,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DK0 INSTRUMENTATION SYSTEM > 24DKK PANEL APU CONTROL
24DM0,IGNITION SYSTEM,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DM0 IGNITION SYSTEM
24DMA,IGNITER,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DM0 IGNITION SYSTEM > 24DMA IGNITER
24DMB,EXCITER,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DM0 IGNITION SYSTEM > 24DMB EXCITER
24DMC,IGNITION CABLE,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DM0 IGNITION SYSTEM > 24DMC IGNITION CABLE
24DP0,HYDRAULIC START SYSTEMS,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DP0 HYDRAULIC START SYSTEMS
24DPA,STARTER,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DP0 HYDRAULIC START SYSTEMS > 24DPA STARTER
24DPB,ACCUMULATOR,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DP0 HYDRAULIC START SYSTEMS > 24DPB ACCUMULATOR
24DPC,MANIFOLD,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DP0 HYDRAULIC START SYSTEMS > 24DPC MANIFOLD
24DPD,SELECTOR VALVE,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DP0 HYDRAULIC START SYSTEMS > 24DPD SELECTOR VALVE
24DPE,HAND PUMP,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DP0 HYDRAULIC START SYSTEMS > 24DPE HAND PUMP
24DPG,PRESSURE GAUGE,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DP0 HYDRAULIC START SYSTEMS > 24DPG PRESSURE GAUGE
24DPH,DOOR CYLINDER,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DP0 HYDRAULIC START SYSTEMS > 24DPH DOOR CYLINDER
24DPJ,ACCUMULATOR GAGE,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DP0 HYDRAULIC START SYSTEMS > 24DPJ ACCUMULATOR GAGE
24DPK,ISOLATION VALVE,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DP0 HYDRAULIC START SYSTEMS > 24DPK ISOLATION VALVE
24DQ0,ENGINE MOUNTING EQUIPMENT,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DQ0 ENGINE MOUNTING EQUIPMENT
24DR0,FIRE DETECTION/EXTINGUISHING SYSTEM,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DR0 FIRE DETECTION/EXTINGUISHING SYSTEM
24DRA,FIRE EXTINGUISHING CONTROL UNIT,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DR0 FIRE DETECTION/EXTINGUISHING SYSTEM > 24DRA FIRE EXTINGUISHING CONTROL UNIT
24DRB,DETECTORS,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DR0 FIRE DETECTION/EXTINGUISHING SYSTEM > 24DRB DETECTORS
24DRC,FIRE EXTINGUISHING BOTTLE,24000 AUXILIARY POWER PLANT > 24D00 BASIC ENGINE (TURBOMACH) -135 > 24DR0 FIRE DETECTION/EXTINGUISHING SYSTEM > 24DRC FIRE EXTINGUISHING BOTTLE
24LF0,"LINE, HYDRAULIC, AFT FUSELAGE (ALL LINES AFT OF WHEEL","24000 AUXILIARY POWER PLANT > 24L00 > 24LF0 LINE, HYDRAULIC, AFT FUSELAGE (ALL LINES AFT OF WHEEL"
27000,TURBOFAN POWER PLANT (F108) (SC),27000 TURBOFAN POWER PLANT (F108) (SC)
27A00,FRONT SECTION,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION
27A10,TURBINE FRAME ASSY (SC),27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A10 TURBINE FRAME ASSY (SC)
27A1A,OIL DUCT,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A10 TURBINE FRAME ASSY (SC) > 27A1A OIL DUCT
27A1B,OVERBOARD DRAIN TUBE SEAL,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A10 TURBINE FRAME ASSY (SC) > 27A1B OVERBOARD DRAIN TUBE SEAL
27A1C,OIL SCAVENGE TUBE,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A10 TURBINE FRAME ASSY (SC) > 27A1C OIL SCAVENGE TUBE
27A1D,OIL SUMP ASSY,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A10 TURBINE FRAME ASSY (SC) > 27A1D OIL SUMP ASSY
27A1E,NO. 5 BEARING SUPPORT,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A10 TURBINE FRAME ASSY (SC) > 27A1E NO. 5 BEARING SUPPORT
27A1F,FAIRING,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A10 TURBINE FRAME ASSY (SC) > 27A1F FAIRING
27A1G,REAR COVER,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A10 TURBINE FRAME ASSY (SC) > 27A1G REAR COVER
27A1J,NUT CHANNEL,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A10 TURBINE FRAME ASSY (SC) > 27A1J NUT CHANNEL
27A1K,GEARSHAFT,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A10 TURBINE FRAME ASSY (SC) > 27A1K GEARSHAFT
27A1L,OIL NOZZLE,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A10 TURBINE FRAME ASSY (SC) > 27A1L OIL NOZZLE
27A1M,LPT FRAME ASSY,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A10 TURBINE FRAME ASSY (SC) > 27A1M LPT FRAME ASSY
27A1N,FLANGE,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A10 TURBINE FRAME ASSY (SC) > 27A1N FLANGE
27A1P,ADJUSTING SLEEVE,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A10 TURBINE FRAME ASSY (SC) > 27A1P ADJUSTING SLEEVE
27A1Q,BLANKING PLUG,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A10 TURBINE FRAME ASSY (SC) > 27A1Q BLANKING PLUG
27A1R,STUD,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A10 TURBINE FRAME ASSY (SC) > 27A1R STUD
27A20,VBV ACTUATION SYSTEM,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A20 VBV ACTUATION SYSTEM
27A2A,FLEXIBLE MAIN SHAFT ASSY,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A20 VBV ACTUATION SYSTEM > 27A2A FLEXIBLE MAIN SHAFT ASSY
27A2B,BLEED VALVE STOP MECHANISM,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A20 VBV ACTUATION SYSTEM > 27A2B BLEED VALVE STOP MECHANISM
27A2D,BALLSCREW ACTUATOR,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A20 VBV ACTUATION SYSTEM > 27A2D BALLSCREW ACTUATOR
27A2E,VBV FEEDBACK CABLE,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A20 VBV ACTUATION SYSTEM > 27A2E VBV FEEDBACK CABLE
27A2F,BALLSCREW MASTER ACTUATOR,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A20 VBV ACTUATION SYSTEM > 27A2F BALLSCREW MASTER ACTUATOR
27A2G,HYDRAULIC GEAR MOTOR,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A20 VBV ACTUATION SYSTEM > 27A2G HYDRAULIC GEAR MOTOR
27A2H,FLEXIBLE SHAFT ASSY,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A20 VBV ACTUATION SYSTEM > 27A2H FLEXIBLE SHAFT ASSY
27A2J,OPEN VBV TUBE,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A20 VBV ACTUATION SYSTEM > 27A2J OPEN VBV TUBE
27A2K,CLOSE VBV TUBE,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A20 VBV ACTUATION SYSTEM > 27A2K CLOSE VBV TUBE
27A2L,ROD END CLEVIS,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A20 VBV ACTUATION SYSTEM > 27A2L ROD END CLEVIS
27A2M,CLEVIS,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A20 VBV ACTUATION SYSTEM > 27A2M CLEVIS
27A2N,VBV FEEDBACK LINK ROD,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A20 VBV ACTUATION SYSTEM > 27A2N VBV FEEDBACK LINK ROD
27A30,PNEUMATIC SYSTEM,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A30 PNEUMATIC SYSTEM
27A3B,TURBINE CLEARANCE VALVE,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A30 PNEUMATIC SYSTEM > 27A3B TURBINE CLEARANCE VALVE
27A3C,HPT CLEARANCE CONTROL AIR MANIFOLD,27000 TURBOFAN POWER PLANT (F108) (SC) > 27A00 FRONT SECTION > 27A30 PNEUMATIC SYSTEM > 27A3C HPT CLEARANCE CONTROL AIR MANIFOLD
