wuc,description,full_context
46160,NO. 1 MAIN TANK (CONT),46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46160 NO. 1 MAIN TANK (CONT)
46161,DUAL CHECK VALVE,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46160 NO. 1 MAIN TANK (CONT) > 46161 DUAL CHECK VALVE
46164,ACCESS DOORS,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46160 NO. 1 MAIN TANK (CONT) > 46164 ACCESS DOORS
46170,NO. 2 MAIN TANK,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46170 NO. 2 MAIN TANK
46171,FUEL LEVEL CONTROL VALVE,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46170 NO. 2 MAIN TANK > 46171 FUEL LEVEL CONTROL VALVE
46173,SUMP DRAIN VALVE,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46170 NO. 2 MAIN TANK > 46173 SUMP DRAIN VALVE
46175,FUEL TANK TOPCOAT,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46170 NO. 2 MAIN TANK > 46175 FUEL TANK TOPCOAT
46178,FWD BOOST PUMP,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46170 NO. 2 MAIN TANK > 46178 FWD BOOST PUMP
46180,NO. 2 MAIN TANK (CONT),46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46180 NO. 2 MAIN TANK (CONT)
4618A,AFT BOOST PUMP,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46180 NO. 2 MAIN TANK (CONT) > 4618A AFT BOOST PUMP
4618B,TRANSFER VALVE NO. 12,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46180 NO. 2 MAIN TANK (CONT) > 4618B TRANSFER VALVE NO. 12
4618C,APU FUEL BOOST PUMP,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46180 NO. 2 MAIN TANK (CONT) > 4618C APU FUEL BOOST PUMP
46190,NO. 2 MAIN TANK (CONT),46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46190 NO. 2 MAIN TANK (CONT)
46199,NOC,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46190 NO. 2 MAIN TANK (CONT) > 46199 NOC
4619A,DUAL CHECK VALVE,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46190 NO. 2 MAIN TANK (CONT) > 4619A DUAL CHECK VALVE
4619C,ACCESS DOORS,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46190 NO. 2 MAIN TANK (CONT) > 4619C ACCESS DOORS
46200,INTEGRAL TANKS (CONT),46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT)
46210,NO. 3 MAIN TANK,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46210 NO. 3 MAIN TANK
46211,FUEL LEVEL CONTROL VALVE,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46210 NO. 3 MAIN TANK > 46211 FUEL LEVEL CONTROL VALVE
46213,SUMP DRAIN VALVE,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46210 NO. 3 MAIN TANK > 46213 SUMP DRAIN VALVE
46215,FUEL TANK TOPCOAT,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46210 NO. 3 MAIN TANK > 46215 FUEL TANK TOPCOAT
46218,FWD BOOST PUMP,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46210 NO. 3 MAIN TANK > 46218 FWD BOOST PUMP
46220,NO. 3 MAIN TANK (CONT),46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46220 NO. 3 MAIN TANK (CONT)
4622A,AFT BOOST PUMP,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46220 NO. 3 MAIN TANK (CONT) > 4622A AFT BOOST PUMP
4622B,TRANSFER VALVE NO. 15,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46220 NO. 3 MAIN TANK (CONT) > 4622B TRANSFER VALVE NO. 15
46230,NO. 3 MAIN TANK (CONT),46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46230 NO. 3 MAIN TANK (CONT)
